OBJECTID,lagoslakei,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
25,621,10886,9797400.000000000000000,150.000000000000000,23514.000000000000000,23364.000000000000000,10353.380580562191000,6070.309420908911300,112706901.000000000000000
26,622,189,170100.000000000000000,14705.000000000000000,17488.000000000000000,2783.000000000000000,16150.592592592593000,538.702417236707900,3052462.000000000000000
27,627,4401,3960900.000000000000000,1061.000000000000000,20210.000000000000000,19149.000000000000000,13040.288116337197000,3087.906462105976500,57390308.000000000000000
28,628,1188,1069200.000000000000000,11712.000000000000000,23550.000000000000000,11838.000000000000000,17915.194444444445000,2776.769146386861800,21283251.000000000000000
29,631,8474,7626600.000000000000000,150.000000000000000,21027.000000000000000,20877.000000000000000,6859.100306820863800,4897.560406679120200,58124016.000000000000000
30,643,25663,23096700.000000000000000,150.000000000000000,21466.000000000000000,21316.000000000000000,9443.369325488056300,4972.951055659476000,242345187.000000000000000
31,655,9919,8927100.000000000000000,150.000000000000000,20968.000000000000000,20818.000000000000000,8196.658534126423500,4678.852802663527700,81302656.000000000000000
32,658,10197,9177300.000000000000000,150.000000000000000,23403.000000000000000,23253.000000000000000,7845.028145532999600,4760.963443274970800,79995752.000000000000000
33,659,3031,2727900.000000000000000,11058.000000000000000,20674.000000000000000,9616.000000000000000,15169.600461893764000,2018.645882433795400,45979059.000000000000000
34,668,40154,36138600.000000000000000,150.000000000000000,19665.000000000000000,19515.000000000000000,4799.766449170692800,3741.628725055013500,192729822.000000000000000
35,670,20544,18489600.000000000000000,150.000000000000000,21538.000000000000000,21388.000000000000000,11149.139067367601000,5482.346087953578700,229047913.000000000000000
36,671,2969,2672100.000000000000000,950.000000000000000,14596.000000000000000,13646.000000000000000,5277.406534186594400,2609.885112647105000,15668620.000000000000000
37,674,6775,6097500.000000000000000,7030.000000000000000,21560.000000000000000,14530.000000000000000,12887.696678966789000,2935.432684857914900,87314145.000000000000000
38,688,25650,23085000.000000000000000,150.000000000000000,21295.000000000000000,21145.000000000000000,7545.677076023392100,4769.229441564476500,193546617.000000000000000
39,690,17795,16015500.000000000000000,150.000000000000000,19198.000000000000000,19048.000000000000000,9458.593200337172700,4320.023135976684000,168315666.000000000000000
40,693,18102,16291800.000000000000000,150.000000000000000,26132.000000000000000,25982.000000000000000,13248.381062865981000,5505.441630221477700,239822194.000000000000000
41,696,15069,13562100.000000000000000,150.000000000000000,34291.000000000000000,34141.000000000000000,11351.494392461345000,6890.706446708643900,171055669.000000000000000
42,697,27944,25149600.000000000000000,150.000000000000000,26252.000000000000000,26102.000000000000000,10323.185692814201000,5675.944199093689300,288471101.000000000000000
43,707,3052,2746800.000000000000000,9090.000000000000000,21443.000000000000000,12353.000000000000000,15530.971166448231000,2676.926453179992200,47400524.000000000000000
44,708,27650,24885000.000000000000000,150.000000000000000,22039.000000000000000,21889.000000000000000,9974.361338155515100,5318.021544143424800,275791091.000000000000000
45,714,17889,16100100.000000000000000,150.000000000000000,24553.000000000000000,24403.000000000000000,9611.375817541506000,5472.377017035542800,171937902.000000000000000
46,717,13268,11941200.000000000000000,150.000000000000000,21973.000000000000000,21823.000000000000000,11076.657521857100000,5376.764498772679900,146965092.000000000000000
47,740,3467,3120300.000000000000000,875.000000000000000,18642.000000000000000,17767.000000000000000,8879.115950389385000,4233.077429165664400,30783895.000000000000000
48,747,1545,1390500.000000000000000,150.000000000000000,19417.000000000000000,19267.000000000000000,8616.233656957929300,5352.665900148103000,13312081.000000000000000
49,752,15875,14287500.000000000000000,150.000000000000000,23959.000000000000000,23809.000000000000000,12528.545637795276000,5994.465948894248900,198890662.000000000000000
50,753,444,399600.000000000000000,7713.000000000000000,16520.000000000000000,8807.000000000000000,13256.006756756757000,2095.791671883525400,5885667.000000000000000
51,776,529,476100.000000000000000,5404.000000000000000,18689.000000000000000,13285.000000000000000,13498.720226843101000,3414.349287891206600,7140823.000000000000000
52,785,12519,11267100.000000000000000,150.000000000000000,21846.000000000000000,21696.000000000000000,10714.026759325825000,5079.862461178808200,134128901.000000000000000
53,790,11246,10121400.000000000000000,150.000000000000000,19628.000000000000000,19478.000000000000000,6554.987284367774900,4306.486328620285300,73717387.000000000000000
54,795,11310,10179000.000000000000000,150.000000000000000,28016.000000000000000,27866.000000000000000,13279.043236074271000,4999.336512458157800,150185979.000000000000000
