"","Protection","min","p5th","median","p95th","max","mean","sd","varname"
"46","Strict center",0,0,0,8.51063829787,97.5,1.92495193672544,8.35715279386926,"TotalPctFrstLossCat"
"47","Strict cat",0,0,0,5.62264837965,94.409937888222,1.26657572457165,5.67619210742101,"TotalPctFrstLossCat"
"48","Multi-use center",0,0,0,14.7243107769238,95.4838709678,2.50308303073971,7.29508131657877,"TotalPctFrstLossCat"
"49","Multi-use cat",0,0,0,18.4667987490028,86.7077464788,2.99680971499907,8.35724595059434,"TotalPctFrstLossCat"
"50","Unprotected",0,0,0,14.5110895250783,100.0000000001,2.42042290960658,7.59610148109388,"TotalPctFrstLossCat"
"51","Strict center",0,0,0,0,197.707116176611,1.33054324646047,10.8823914937943,"TotalPctFireCat"
"52","Strict cat",0,0,0,0,197.707116176611,0.485912652077193,6.74995359686258,"TotalPctFireCat"
"53","Multi-use center",0,0,0,0,200,1.00524858701737,9.53487286714364,"TotalPctFireCat"
"54","Multi-use cat",0,0,0,0,200,1.25370800044949,11.017346725621,"TotalPctFireCat"
"55","Unprotected",0,0,0,0,200,0.155296161932997,3.66276827928425,"TotalPctFireCat"
"56","Strict center",0.659179861555133,69.2149713634415,388.299784582547,685.768902073774,1012.03381347666,386.112736538893,178.308504753202,"SN_2008Cat"
"57","Strict cat",0.659179861555133,48.3359842361947,382.24816894453,664.697448731914,947.719909667308,375.133501619392,180.435456581235,"SN_2008Cat"
"58","Multi-use center",0.481851073808528,44.231647316944,344.345458984252,678.393972922435,1037.03042147035,332.247083358158,195.290103436487,"SN_2008Cat"
"59","Multi-use cat",1.44365627236764,39.0055351255556,306.590051536853,614.106872558875,943.983533522059,298.944075576882,176.041231895229,"SN_2008Cat"
"60","Unprotected",0.266438419498846,116.190848458206,433.302855667956,730.815709682298,1033.06774902331,432.382692782486,184.40130622681,"SN_2008Cat"
"61","Strict center",0,0,0,0,2.36406619385,0.000366221935800463,0.0207659256712639,"MineDensCat"
"62","Strict cat",0,0,0,0,1.93911188676,0.000308722276730771,0.0221042949795704,"MineDensCat"
"63","Multi-use center",0,0,0,0,8.41750841751,0.00128112720812358,0.0724184377303423,"MineDensCat"
"64","Multi-use cat",0,0,0,0,0.691419484201,6.65914941925262e-05,0.0067854739382574,"MineDensCat"
"65","Unprotected",0,0,0,0,37.037037037,0.00398582512938412,0.177023085251451,"MineDensCat"
"66","Strict center",0,0,0,0,55.5555555556,0.0240906856758241,0.415014567901472,"NABD_DensCat"
"67","Strict cat",0,0,0,0,11.3378684807,0.0184302782091402,0.269594036819625,"NABD_DensCat"
"68","Multi-use center",0,0,0,0,185.185185185,0.0725963830713609,1.32175490740663,"NABD_DensCat"
"69","Multi-use cat",0,0,0,0,61.7283950617,0.0705276489281553,0.910346696134918,"NABD_DensCat"
"70","Unprotected",0,0,0,0,158.73015873,0.0905025631859537,0.743307493103372,"NABD_DensCat"
"71","Strict center",0,0,0,0,58.4795321637,0.00262367804668655,0.328811752009767,"SuperfundDensCat"
"72","Strict cat",0,0,0,0,58.4795321637,0.00726249531287849,0.651140933362907,"SuperfundDensCat"
"73","Multi-use center",0,0,0,0,1.45815106445,0.000356088861775449,0.0157315121043893,"SuperfundDensCat"
"74","Multi-use cat",0,0,0,0,1.13378684807,0.000109196460374651,0.0111267924681184,"SuperfundDensCat"
"75","Unprotected",0,0,0,0,65.3594771242,0.00331294231594079,0.192864602454805,"SuperfundDensCat"
"76","Strict center",0,0,0,0,17.3611111111,0.00386477418006056,0.135705277664687,"TRIDensCat"
"77","Strict cat",0,0,0,0,17.3611111111,0.00272018254143431,0.194028045213209,"TRIDensCat"
"78","Multi-use center",0,0,0,0,20.202020202,0.00377518456631786,0.152892914479306,"TRIDensCat"
"79","Multi-use cat",0,0,0,0,4.49842555106,0.000433249114038332,0.0441467879303143,"TRIDensCat"
"80","Unprotected",0,0,0,0,35.8422939068,0.01444437346114,0.309850762190547,"TRIDensCat"
"81","Strict center",0,0,0,0,10.8932461874,0.00122938587475399,0.0895902685817641,"NPDESDensCat"
"82","Strict cat",0,0,0,0,9.92063492063,0.00130861554680235,0.110507235390112,"NPDESDensCat"
"83","Multi-use center",0,0,0,0,4.17710944027,0.000459894343345676,0.0331521534179519,"NPDESDensCat"
"84","Multi-use cat",0,0,0,0,1.5199878401,0.000146391971501493,0.0149169037192889,"NPDESDensCat"
"85","Unprotected",0,0,0,0,52.9100529101,0.00486835179392931,0.242872798216817,"NPDESDensCat"
"86","Strict center",12.9512195121951,303.935575569941,699.028571428571,1370.07464503043,2289.59679572764,750.965252253422,308.076616054162,"WetIndexCat"
"87","Strict cat",12.9512195121951,364.245759194366,763.650083165761,1508.76833939055,2256.89928057554,840.06342120022,347.659841873328,"WetIndexCat"
"88","Multi-use center",36.8777295733912,339.676535933311,678.693037974684,1168.76247447752,2156.97326203209,701.304235098534,259.196213683487,"WetIndexCat"
"89","Multi-use cat",126.340868530637,295.889161036036,656.610526645853,1198.99421960382,2156.97326203209,681.631665525804,276.179982451397,"WetIndexCat"
"90","Unprotected",1.30293551625266,403.895212371224,683.616384106961,1078.01720016784,2274.64309210526,701.631639367929,223.220420221253,"WetIndexCat"
"91","Strict center",52.3277913935,360.132163432,917.759345557,1644.66453281,5386.07823989,995.81147373714,486.472117733281,"Precip8110Cat"
"92","Strict cat",64.8803029214,315.014393662,982.2397115525,1587.4971701725,5386.07823989,1011.13521211597,473.115250830274,"Precip8110Cat"
"93","Multi-use center",62.3752991667,260.41393387625,718.36740632,1524.7288545075,5072.97491939,802.059234724947,439.599414214275,"Precip8110Cat"
