OBJECTID,LAGOSLAKEI,A_1,A_2,A_3
82,1110,0.000000000000000,35100.000000000000000,0.000000000000000
83,1118,0.000000000000000,0.000000000000000,2154600.000000000000000
84,1126,0.000000000000000,0.000000000000000,2020500.000000000000000
85,1131,0.000000000000000,0.000000000000000,324900.000000000000000
86,1140,0.000000000000000,7893900.000000000000000,0.000000000000000
87,1141,0.000000000000000,31515300.000000000000000,0.000000000000000
88,1153,832500.000000000000000,2808000.000000000000000,47700.000000000000000
89,1160,0.000000000000000,1412100.000000000000000,11427300.000000000000000
90,1161,0.000000000000000,0.000000000000000,1085400.000000000000000
91,1188,0.000000000000000,203400.000000000000000,0.000000000000000
92,1207,0.000000000000000,20700.000000000000000,0.000000000000000
93,1208,0.000000000000000,463500.000000000000000,0.000000000000000
94,1219,246600.000000000000000,0.000000000000000,2150100.000000000000000
95,1221,0.000000000000000,27000.000000000000000,0.000000000000000
96,1222,0.000000000000000,6003900.000000000000000,24300.000000000000000
97,1226,1657800.000000000000000,1116000.000000000000000,3906900.000000000000000
98,1232,0.000000000000000,7296300.000000000000000,0.000000000000000
99,1236,0.000000000000000,131400.000000000000000,24300.000000000000000
100,1241,0.000000000000000,3137400.000000000000000,651600.000000000000000
101,1242,0.000000000000000,29636100.000000000000000,0.000000000000000
102,1249,0.000000000000000,0.000000000000000,4487400.000000000000000
103,1259,0.000000000000000,139500.000000000000000,0.000000000000000
104,1263,0.000000000000000,0.000000000000000,458100.000000000000000
105,1265,708300.000000000000000,855000.000000000000000,549900.000000000000000
106,1269,0.000000000000000,4330800.000000000000000,4873500.000000000000000
107,1278,0.000000000000000,3506400.000000000000000,25200.000000000000000
108,1291,0.000000000000000,134100.000000000000000,0.000000000000000
109,1306,92700.000000000000000,34200.000000000000000,0.000000000000000
110,1307,0.000000000000000,4500.000000000000000,0.000000000000000
111,1316,0.000000000000000,0.000000000000000,2563200.000000000000000
112,1317,0.000000000000000,0.000000000000000,11870100.000000000000000
113,1323,0.000000000000000,83700.000000000000000,0.000000000000000
114,1325,0.000000000000000,544500.000000000000000,20700.000000000000000
115,1328,0.000000000000000,0.000000000000000,1145700.000000000000000
116,1338,0.000000000000000,1800.000000000000000,1573200.000000000000000
117,1343,0.000000000000000,10241100.000000000000000,2700.000000000000000
118,1345,0.000000000000000,0.000000000000000,1665000.000000000000000
119,1355,0.000000000000000,9469800.000000000000000,0.000000000000000
120,1362,0.000000000000000,7169400.000000000000000,22051800.000000000000000
121,1370,0.000000000000000,474300.000000000000000,0.000000000000000
122,1389,0.000000000000000,3061800.000000000000000,0.000000000000000
123,1400,0.000000000000000,0.000000000000000,24300.000000000000000
124,1406,0.000000000000000,0.000000000000000,4112100.000000000000000
125,1414,0.000000000000000,0.000000000000000,7340400.000000000000000
126,1438,0.000000000000000,2396700.000000000000000,0.000000000000000
