"","patchID","n.cell","n.core.cell","n.edges.perimeter","n.edges.internal","area","core.area","perimeter","perim.area.ratio","shape.index","frac.dim.index","core.area.index","edge.area","edge.area.index"
"31",615,918,690,246,3426,826200,621000,7380,0.00893246187363834,2.01639344262295,1.1039206856988,0.751633986928105,205200,0.248366013071895
"32",616,1002,777,232,3776,901800,699300,6960,0.00771789753825682,1.8125,1.08832552970374,0.775449101796407,202500,0.224550898203593
"33",617,1708,1348,368,6464,1537200,1213200,11040,0.00718188914910226,2.21686746987952,1.11235139502085,0.789227166276347,324000,0.210772833723653
"34",621,1901,1370,598,7006,1710900,1233000,17940,0.0104857092758197,3.39772727272727,1.17170891996074,0.720673329826407,477900,0.279326670173593
"35",622,687,519,182,2566,618300,467100,5460,0.00883066472586123,1.71698113207547,1.0827231175899,0.755458515283843,151200,0.244541484716157
"36",623,259,170,102,934,233100,153000,3060,0.0131274131274131,1.54545454545455,1.07448112682016,0.656370656370656,80100,0.343629343629344
"37",627,1167,848,330,4338,1050300,763200,9900,0.00942587832047986,2.39130434782609,1.1271877071611,0.726649528706084,287100,0.273350471293916
"38",628,994,805,200,3776,894600,724500,6000,0.00670690811535882,1.5625,1.06730151214393,0.809859154929577,170100,0.190140845070423
"39",631,577,280,384,1924,519300,252000,11520,0.0221837088388215,3.91836734693878,1.21054743240159,0.48526863084922,267300,0.51473136915078
"40",643,9794,8577,1330,37846,8814600,7719300,39900,0.00452658089987067,3.35858585858586,1.15156119394034,0.875740249132122,1095300,0.124259750867878
"41",651,242,125,126,842,217800,112500,3780,0.0173553719008264,1.96875,1.11479938132941,0.516528925619835,105300,0.483471074380165
"42",655,212,121,98,750,190800,108900,2940,0.0154088050314465,1.63333333333333,1.08559598515509,0.570754716981132,81900,0.429245283018868
"43",658,2459,2161,346,9490,2213100,1944900,10380,0.00469025349057883,1.73,1.07616605313112,0.878812525416836,268200,0.121187474583164
"44",659,344,213,138,1238,309600,191700,4140,0.0133720930232558,1.81578947368421,1.09817870876882,0.619186046511628,117900,0.380813953488372
"45",668,3669,2465,1296,13380,3302100,2218500,38880,0.0117743254292723,5.31147540983607,1.22343751819493,0.671845189424911,1083600,0.328154810575089
"46",670,1497,1214,290,5698,1347300,1092600,8700,0.00645735916276998,1.85897435897436,1.0889888879732,0.810955243820975,254700,0.189044756179025
"47",671,1273,937,342,4750,1145700,843300,10260,0.00895522388059702,2.375,1.12528386557786,0.73605655930872,302400,0.26394344069128
"48",674,402,272,140,1468,361800,244800,4200,0.0116086235489221,1.70731707317073,1.08705815822701,0.676616915422886,117000,0.323383084577114
"49",683,1014,796,228,3828,912600,716400,6840,0.00749506903353057,1.78125,1.08484697311898,0.785009861932939,196200,0.214990138067061
"50",688,1222,896,340,4548,1099800,806400,10200,0.00927441352973268,2.42857142857143,1.12774814914207,0.733224222585925,293400,0.266775777414075
"51",690,397,269,134,1454,357300,242100,4020,0.0112510495382032,1.675,1.08127074087148,0.677581863979849,115200,0.322418136020151
"52",691,111,54,66,378,99900,48600,1980,0.0198198198198198,1.5,1.07793575472884,0.486486486486487,51300,0.513513513513513
"53",693,197,129,74,714,177300,116100,2220,0.0125211505922166,1.27586206896552,1.04570214175106,0.654822335025381,61200,0.345177664974619
"54",696,1517,1327,212,5856,1365300,1194300,6360,0.0046583168534388,1.35897435897436,1.04361144434729,0.87475280158207,171000,0.12524719841793
"55",697,1675,1373,322,6378,1507500,1235700,9660,0.00640796019900497,1.96341463414634,1.0951039943551,0.819701492537313,271800,0.180298507462687
"56",707,568,378,216,2056,511200,340200,6480,0.0126760563380282,2.25,1.12445088520199,0.665492957746479,171000,0.334507042253521
"57",708,2663,2395,272,10380,2396700,2155500,8160,0.00340468143697584,1.30769230769231,1.0375644468692,0.899361622230567,241200,0.100638377769433
"58",714,538,314,256,1896,484200,282600,7680,0.0158612143742255,2.72340425531915,1.15507015459476,0.58364312267658,201600,0.41635687732342
"59",717,1055,849,216,4004,949500,764100,6480,0.00682464454976303,1.66153846153846,1.07386623699337,0.804739336492891,185400,0.195260663507109
"60",731,694,510,188,2588,624600,459000,5640,0.0090297790585975,1.77358490566038,1.08676169398123,0.734870317002882,165600,0.265129682997118
"61",732,207,114,104,724,186300,102600,3120,0.0167471819645733,1.79310344827586,1.09752478023866,0.550724637681159,83700,0.449275362318841
