"","lagoslakeid","FullLakeArea_ha","FullLakePerimeter_km","FullLakeEdgeArea_ha","AvgFullLakeShapeIndex","FullLakeCoreArea_ha","AvgFullLakeCoreAreaIndex","nLakePatches","BuffArea_ha","EdgeLengthInBuff_km","EdgeAreaInBuff_ha","EdgeAreaInBuff_pct","BufferWidth_m"
"93","64569",22.14,6.3,14.85,6.60999373433585,18225,0.316127403705385,4,1569.85460292215,4.2601,12.7803,0.00814107241282765,2000
"94","137033",0,0,0,NA,0,NA,0,1569.63881360241,0,0,0,2000
"95","43857",111.78,19.5,52.92,9.21170287865714,147150,0.394343896883737,4,1407.41408475848,15.8747,47.6241,0.0338380157735687,2000
"96","124667",223.38,19.14,53.82,7.02449185623906,423900,0.476371733497471,4,1514.86190350293,11.4579,34.3737,0.0226909792374572,2000
"97","81142",51.57,5.64,14.85,3.13664596273292,183600,0.528061224489796,2,1423.67173982751,3.8939,11.6817,0.00820533250271256,2000
"98","50068",5.13,1.14,2.97,1.1875,21600,0.421052631578947,1,1533.8929382764,0.8483,2.5449,0.00165911188225408,2000
"99","63532",26.46,6.12,16.29,5.10115089514066,33900,0.366713455476753,3,1562.03500893471,3.6411,10.9233,0.00699299307475162,2000
"100","51090",9,1.92,5.31,1.6,36900,0.41,1,1404.14867549954,1.5111,4.5333,0.00322850427387059,2000
"101","32282",119.34,22.26,57.51,14.9751501794352,77287.5,0.439745265579118,8,1438.99882481769,17.4346,52.3038,0.0363473542145711,2000
"102","51091",45,10.08,24.84,8.81666666666666,40320,0.366017047970244,5,1725.50972734726,7.6532,22.9596,0.0133059812043466,2000
"103","125741",21.78,6.12,14.04,5.7202380952381,25800,0.286757280493463,3,1448.03955681113,5.328,15.984,0.0110383724842434,2000
"104","45895",0,0,0,NA,0,NA,0,1455.47157996987,0,0,0,2000
"105","83255",0,0,0,NA,0,NA,0,1508.98658847675,0,0,0,2000
"106","90575",6.66,1.8,4.77,1.66666666666667,18900,0.283783783783784,1,1583.36289061281,1.358,4.074,0.0025730045993583,2000
"107","688",12.6,3.54,8.64,3.40522875816993,19800,0.298461538461538,2,2312.24160291904,0.9747,2.9241,0.00126461698306463,2000
"108","96690",16.2,4.74,11.25,5.07243107769423,16500,0.259754738015607,3,1469.74319706217,4.1,12.3,0.00836880893518416,2000
"109","92620",105.12,9.78,27.63,2.36231884057971,774900,0.737157534246575,1,1632.50669763107,6.4355,19.3065,0.0118262914498395,2000
"110","44891",46.44,5.28,14.58,1.91304347826087,318600,0.686046511627907,1,2067.99245532225,4.3468,13.0404,0.00630582571345404,2000
"111","70691",6.66,1.38,3.51,1.27777777777778,31500,0.472972972972973,1,1433.79708458481,1.1694,3.5082,0.00244678974292648,2000
"112","11363",494.55,18,52.56,2.93543921469922,2209950,0.86495886210464,2,1518.82360018708,7.5502,22.6506,0.0149132525970824,2000
"113","135071",0,0,0,NA,0,NA,0,1551.46387023118,0,0,0,2000
"114","16460",11.97,3.24,8.73,3.27443609022556,16200,0.244047619047619,2,1990.18859878529,2.538,7.614,0.00382576807275812,2000
"115","13399",457.38,34.86,100.17,8.39414285714286,893025,0.664717357950179,4,1742.41461702011,13.7317,41.1951,0.023642535822187,2000
"116","110018",25.92,2.82,8.01,1.38235294117647,179100,0.690972222222222,1,1648.89941723867,2.3095,6.9285,0.00420189365558926,2000
"117","138156",10.89,3.72,9.63,3.86666666666667,6300,0.10532212885154,2,1535.22558131507,3.1658,9.4974,0.00618632213766562,2000
"118","58330",422.1,53.7,151.65,19.9819460480343,245863.636363636,0.537230465273624,11,1896.77734649196,30.7066,92.1198,0.0485664804940722,2000
"119","977",0,0,0,NA,0,NA,0,1757.90887818818,0,0,0,2000
"120","128811",1634.49,137.1,380.34,23.7698424574946,1393500,0.626218148146513,9,1717.09865478367,60.2695,180.8085,0.105298842030005,2000
"121","38515",56.97,10.98,28.53,6.13760504201681,94800,0.439148105945035,3,1534.16146007633,6.2441,18.7323,0.0122101229156597,2000
"122","13401",121.86,27.06,66.6,17.5254279886145,69075,0.370715765966924,8,1541.08197466416,15.3298,45.9894,0.0298422801356963,2000
"123","81143",123.75,15.24,39.06,9.17460317460318,141150,0.477873094049565,6,1843.80074645041,6.8633,20.5899,0.0111670960322793,2000
"124","82193",37.26,9.54,22.77,6.7626811594203,48300,0.383501132437303,3,2253.19714317572,7.0991,21.2973,0.00945203577259246,2000
"125","67661",14.22,2.28,6.12,1.46153846153846,81000,0.569620253164557,1,1740.70882276045,0.905,2.715,0.00155970944967953,2000
"126","119373",74.79,19.74,48.87,17.1781601731602,28800,0.298242061418013,9,1687.65475460625,14.5197,43.5591,0.0258104330172451,2000
"127","125743",14.4,4.02,9.54,3.72222222222222,24300,0.3375,2,1547.44781890172,3.5107,10.5321,0.00680610995172361,2000
"128","25001",534.33,34.92,101.34,5.34872859366891,2164950,0.804846671993908,2,1626.44363895701,12.5068,37.5204,0.0230689825957085,2000
"129","123614",0,0,0,NA,0,NA,0,1487.664402275,0,0,0,2000
"130","72712",42.48,10.02,25.02,8.83423484336262,34920,0.342998842828214,5,1468.99653298551,8.8465,26.5395,0.0180664143202996,2000
"131","119374",152.46,14.4,41.76,4.18188854489164,553500,0.666001768082378,2,1928.25489274732,5.0053,15.0159,0.00778730034938784,2000
"132","131944",0,0,0,NA,0,NA,0,1608.23664215404,0,0,0,2000
"133","49000",106.2,10.2,29.43,3.53525641025641,383850,0.633801552592082,2,1426.64015070077,5.6835,17.0505,0.0119515071769323,2000
"134","61402",10.17,2.22,6.12,1.68181818181818,40500,0.398230088495575,1,1592.80392707845,0.4777,1.4331,0.000899734095098958,2000
"135","121524",0,0,0,NA,0,NA,0,1464.10094477757,0,0,0,2000
"136","71691",0,0,0,NA,0,NA,0,2155.68262571712,0,0,0,2000
"137","70692",32.22,6.6,17.28,5.7479709832651,37350,0.433797740819582,4,1759.03266952728,5.501,16.503,0.00938186100002051,2000
"138","97773",130.59,25.14,64.53,17.9751501794352,66060,0.427154819020671,10,1440.73148250214,17.2377,51.7131,0.0358936419645589,2000
"139","19635",317.25,10.02,29.61,1.40336134453782,2876400,0.906666666666667,1,1547.52339038035,5.9825,17.9475,0.0115975629910116,2000
"140","121525",136.17,27.3,72.63,18.3205885509598,63540,0.392915579713366,10,1583.60831431667,19.0684,57.2052,0.0361233263824357,2000
"141","97774",180.36,20.82,59.04,8.13258145363409,242640,0.557553278164248,5,1420.89332817824,16.1554,48.4662,0.0341096682198794,2000
"142","2010",54.36,10.8,29.43,8.03025210084033,49860,0.406096534542241,5,2528.77337161673,5.7397,17.2191,0.00680926974052689,2000
"143","86389",1420.11,112.44,313.74,18.6080282823805,1382962.5,0.648198396072678,8,2005.9382432487,39.9692,119.9076,0.0597763168450314,2000
"144","112121",154.89,19.38,54.63,8.33607548282471,200520,0.47884158298624,5,1680.13799013744,15.1861,45.5583,0.0271158085034868,2000
"145","127780",41.85,8.1,20.07,6.6392316017316,54450,0.392234217292484,4,1463.20677982637,3.9108,11.7324,0.00801827886649911,2000
"146","16462",458.28,48.96,136.71,20.8176003586124,267975,0.489721984309186,12,1617.91118322864,28.2991,84.8973,0.0524733995784506,2000
"147","79107",127.08,22.98,60.21,15.5546858567988,74300,0.409914770032676,9,1656.57626314052,14.7849,44.3547,0.0267749218595664,2000
"148","71686",295.56,26.1,72.18,9.8536644165863,372300,0.627203869656615,6,1613.78803795155,7.7973,23.3919,0.0144950262673234,2000
"149","97775",155.16,24.6,67.23,11.96319913593,146550,0.444914433241349,6,1522.72163887571,17.2973,51.8919,0.0340783887712491,2000
"150","85330",0,0,0,NA,0,NA,0,1476.77888477493,0,0,0,2000
"151","14615",114.75,22.68,60.48,12.34046308642,90450,0.427578615057231,6,2866.73730763775,12.7412,38.2236,0.0133334853870852,2000
"152","102783",0,0,0,NA,0,NA,0,1608.0112602981,0,0,0,2000
"153","121526",1172.43,77.1,219.15,9.16396103896103,3177600,0.587402087282059,3,2011.93988956651,12.0502,36.1506,0.0179680318420392,2000
"154","84343",117,19.08,50.49,10.6409172223126,110850,0.489207055213868,6,1448.138974055,11.3964,34.1892,0.0236090600505456,2000
"155","85331",122.4,12.96,34.92,7.2128364389234,174960,0.520590570002335,5,1446.7802280145,5.1155,15.3465,0.0106073470613162,2000
"156","15432",0,0,0,NA,0,NA,0,1492.85877640865,0,0,0,2000
"157","62435",111.51,15,40.23,5.17537313432836,356400,0.546647316668641,2,1583.89147666997,12.5047,37.5141,0.0236847666349408,2000
