"","LAGOSLAKEI","OBJECTID","A_1","A_2","A_3","IWS_area_ha.x","GAP12_IWS_ha","GAP123_IWS_ha","GAP12_IWS_pct","GAP123_IWS_pct","IWS_area_ha.y","IWS_area_ha"
"91",1207,681,0,503100,0,3815.129834,50.31,50.31,0.0131869693009247,0.0131869693009247,3815.129834,3815.129834
"92",1208,682,0,750600,0,125.0755658,75.06,75.06,0.600117213301465,0.600117213301465,125.0755658,125.0755658
"93",1219,689,439200,834300,11220300,7837.916856,127.35,1249.38,0.0162479396425993,0.159402048140328,7837.916856,7837.916856
"94",1221,690,0,1443600,0,317.6186791,144.36,144.36,0.454507273970966,0.454507273970966,317.6186791,317.6186791
"95",1222,691,0,43592400,58270500,79408.14705,4359.24,10186.29,0.0548966341861014,0.128277643773581,79408.14705,79408.14705
"96",1226,693,1180800,1534500,25678800,2910.138849,271.53,2839.41,0.0933048263636303,0.975695713273508,2910.138849,2910.138849
"97",1232,696,0,11007900,1800,1544.540627,1100.79,1100.97,0.71269734234061,0.712813881845531,1544.540627,1544.540627
"98",1234,697,0,1082700,2037600,2803.014249,108.27,312.03,0.0386262752815567,0.111319448380014,2803.014249,2803.014249
"99",1236,698,0,2413800,106200,2877.367285,241.38,252,0.0838891862218417,0.0875800601868593,2877.367285,2877.367285
"100",1241,702,0,1326600,0,244.1791248,132.66,132.66,0.543289685834765,0.543289685834765,244.1791248,244.1791248
"101",1242,703,0,337289400,931500,53752.5718,33728.94,33822.09,0.62748513923198,0.629218079571032,53752.5718,53752.5718
"102",1259,712,0,135900,0,1075.016771,13.59,13.59,0.01264166324341,0.01264166324341,1075.016771,1075.016771
"103",1263,716,0,0,41400,131.4823448,0,4.14,0,0.0314871171965896,131.4823448,131.4823448
"104",1265,717,2592900,6181200,1454400,3410.520387,877.41,1022.85,0.257265725003273,0.29991024358008,3410.520387,3410.520387
"105",1269,719,0,32310900,3884400,4532.761647,3231.09,3619.53,0.712830334270608,0.79852643529041,4532.761647,4532.761647
"106",1275,724,0,28800,0,4243.032986,2.88,2.88,0.000678759747921507,0.000678759747921507,4243.032986,4243.032986
"107",1278,726,0,10595700,671400,2828.743437,1059.57,1126.71,0.37457267638373,0.398307596674417,2828.743437,2828.743437
"108",1316,744,0,0,2492100,2020.87667,0,249.21,0,0.12331776782796,2020.87667,2020.87667
"109",1323,748,0,108000,864900,265.058863,10.8,97.29,0.0407456663692095,0.367050544542629,265.058863,265.058863
"110",1338,756,0,0,83700,662.9769004,0,8.37,0,0.0126248742527078,662.9769004,662.9769004
"111",1345,762,0,0,231300,538.8173473,0,23.13,0,0.0429273484157551,538.8173473,538.8173473
"112",1355,767,0,537300,0,55.91276406,53.73,53.73,0.960961256401889,0.960961256401889,55.91276406,55.91276406
"113",1357,769,0,3647700,0,1097.799789,364.77,364.77,0.332273702049327,0.332273702049327,1097.799789,1097.799789
"114",1360,770,0,9000,0,699.9935419,0.9,0.9,0.00128572614764005,0.00128572614764005,699.9935419,699.9935419
"115",1362,771,0,2548800,42789600,8736.136463,254.88,4533.84,0.0291753684342602,0.518975409690781,8736.136463,8736.136463
"116",1370,776,0,2760300,0,24157.84659,276.03,276.03,0.0114261012036669,0.0114261012036669,24157.84659,24157.84659
"117",1388,788,0,0,432000,427.6656267,0,43.2,0,0.101013495831649,427.6656267,427.6656267
"118",1389,789,0,5106600,0,805.6515851,510.66,510.66,0.633847198273203,0.633847198273203,805.6515851,805.6515851
"119",1400,795,0,0,1890900,743.8307002,0,189.09,0,0.254211072424354,743.8307002,743.8307002
"120",1406,799,0,0,6570000,699.3144815,0,657,0,0.939491483989811,699.3144815,699.3144815
"121",1414,802,0,0,24862500,5699.984438,0,2486.25,0,0.436185401388985,5699.984438,5699.984438
"122",1438,817,0,2850300,3050100,20122.15558,285.03,590.04,0.0141649834117822,0.0293229021937619,20122.15558,20122.15558
"123",1442,819,0,2831400,405000,44131.94135,283.14,323.64,0.0064157612681138,0.0073334639288421,44131.94135,44131.94135
"124",1443,820,0,1800,0,275.8620949,0.18,0.18,0.000652499938656849,0.000652499938656849,275.8620949,275.8620949
"125",1456,828,0,0,811800,428.4024704,0,81.18,0,0.189494705584219,428.4024704,428.4024704
"126",1458,829,0,5400,0,3297.86392,0.54,0.54,0.000163742353565638,0.000163742353565638,3297.86392,3297.86392
"127",1464,833,531900,9941400,1998000,190960.8236,1047.33,1247.13,0.00548452808411536,0.00653081598879321,190960.8236,190960.8236
"128",1467,835,0,95400,30469500,21693.27852,9.54,3056.49,0.000439767552479661,0.14089571556379,21693.27852,21693.27852
"129",1481,843,0,0,477900,52.53315005,0,47.79,0,0.909711295715457,52.53315005,52.53315005
"130",1484,845,0,1991700,0,771.0760276,199.17,199.17,0.258301377388068,0.258301377388068,771.0760276,771.0760276
